Wn,Alg5,Alg5Gel0625,Alg5Gel125,Alge5Gel250,Alg5Gel5
1608.368,0.9949300543980816,0.9922428821596659,0.9445152565737961,0.9530585071093394,0.9011539338936404
1610.296,0.9972702316454451,0.9964319503337671,0.9557086971552232,0.9617306061705484,0.9112572438016955
1612.225,0.999577588317689,0.9992509140759911,0.9669693667601983,0.9708079752848401,0.9208553381794734
1614.153,1,1,0.9759436540883292,0.9780479998786458,0.9295474901124197
1616.082,0.9963692565876737,0.9995102661858529,0.9798110185628114,0.9810089390804427,0.937978077906968
1618.01,0.9902716537416802,0.9964736810283424,0.980453602079859,0.980801772318319,0.9454551110557243
1619.939,0.9888928177210966,0.9930663438654403,0.9869955905682379,0.9860075554320702,0.9534801547208743
1621.867,0.9866795843431748,0.9881455707698825,0.9928351899717659,0.9911190708417742,0.9611059997669491
1623.796,0.9834087241150272,0.9825655913845036,0.9978100351500785,0.9961523684561715,0.968757245950409
1625.724,0.9780728395768894,0.9753841442522446,1,0.9997216015093772,0.9755804290803475
1627.653,0.9666426989824155,0.9671819004546922,0.9940145251326592,0.9974197275319191,0.9818029900981053
1629.581,0.956600553318496,0.9572562405012556,0.9893759493595118,0.9955611726684414,0.9865950189501543
1631.51,0.9518307582804015,0.9473298341778308,0.9916369693052807,1,0.9912870781652346
1633.438,0.9410831699569423,0.9357831308639668,0.9867306444483491,0.9998119751943326,0.9944492340970356
1635.367,0.923174498498564,0.9234555053285963,0.9716929515441302,0.9912486833450435,0.9966731972300457
1637.295,0.9107563800880156,0.9104809438573839,0.9640306673451552,0.9884443368996135,0.9980743757653936
1639.224,0.9015525294829656,0.897661831336367,0.9605593330524558,0.9903793500238727,0.9994378750851398
1641.152,0.8878761007979034,0.8842139176687589,0.9516140066287767,0.9890819636633431,0.9999417343709778
1643.081,0.8680526249258128,0.8706863091837568,0.933934130716563,0.981355559415825,1
1645.009,0.8478552313894551,0.8566194739587288,0.9161724948292597,0.9730905243914172,0.9992276465062334
1646.938,0.8296568353745347,0.8434245130981441,0.9015581710954852,0.9675588471516409,0.9990744738958427
1648.866,0.8095955721631849,0.8300792737624783,0.8850735070503738,0.9605946580969291,0.9984166812159679
1650.795,0.7878331619371395,0.8169019794623663,0.8668599689351261,0.9522378317549544,0.9974045436239969
1652.723,0.7679473503860768,0.80414977766321,0.8517191440681812,0.9456538906906983,0.9960935761205089
1654.652,0.7465188290482094,0.7918544041932777,0.8350371446106458,0.9376045684932316,0.9949769597146554
1656.58,0.7213568349731447,0.7780573506284127,0.8127306394052897,0.9236627143802476,0.9920674554983563
1658.509,0.7045950899011486,0.7650996558048172,0.8014089060322563,0.9182522945488749,0.9897901489402546
1660.437,0.6886524541632612,0.7513953479471384,0.7917976518353143,0.9139398632480699,0.9865380410128484
1662.366,0.6731115101370704,0.73704396864886,0.7828000878907955,0.9104509963336513,0.9825186306708045
1664.294,0.6541882485396819,0.7209392674792603,0.7685991037219385,0.902970405028046,0.9764310141999795
1666.223,0.6283288970927342,0.7025631240968967,0.7440567360142655,0.8865072817023526,0.9684236598143835
1668.151,0.6120552214680919,0.6841566966213869,0.7317842932017761,0.8794013723661549,0.9608399996966264
1670.08,0.597958523973031,0.6646963433588368,0.7216402376356366,0.8748508912855144,0.9523876880001046
1672.008,0.575150031779835,0.6426758429542823,0.6992080185539032,0.86044995591948,0.94128357894613
1673.937,0.5489342928157391,0.6189556414976275,0.6714414716133528,0.8403769550136515,0.9288628994671972
1675.865,0.527726293413776,0.5938873307666866,0.6490721811327933,0.8233902989122577,0.9140534277676493
1677.794,0.5031320391696167,0.5673458732760059,0.6212561461552023,0.80123016988683,0.8966732119655935
1679.722,0.4809872729270923,0.5412684083190059,0.5971422457596008,0.7818174179353176,0.8794389513415142
1681.651,0.45456990393218916,0.5139512390141217,0.5658383776649988,0.7550420403786243,0.8587807580512383
1683.579,0.4338048986738015,0.4881862005406403,0.5437357102909164,0.735384171988765,0.8402484289219121
1685.508,0.41599735977031216,0.46321121547078764,0.5261175692726604,0.7194109744940529,0.8214361709653301
1687.436,0.3938418000272981,0.43786979713369684,0.501492319069362,0.6969672787383854,0.7992059158157957
1689.365,0.3693375881758656,0.41254124676282905,0.4741228370868005,0.6711804471967139,0.7754216516237248
1691.293,0.3472421097454436,0.38797881211480556,0.44874544085499285,0.6454038636395623,0.749296705895361
1693.222,0.32528693304857587,0.3638229797884466,0.4228830306989512,0.6179438924249449,0.7201222977976991
1695.15,0.29998511316660725,0.3395328720854553,0.39031218167682646,0.5830565985894972,0.6861247672767276
1697.079,0.2772668957547635,0.31653009982027613,0.35979421595054956,0.5474730824972436,0.6483800178540526
