Wn,Alginate,A,B,C,D,E
1604.511,0.17341390447115715,0.5857706522214945,0.532892280042086,0.3095276981303588,0.4446953361629245,0.35892224286667945
1606.439,0.1775487294013872,0.6008179456804469,0.5495117914023498,0.3148591414927435,0.4529511575595741,0.3659739299927568
1608.368,0.18127770810827015,0.6166940128922185,0.5676448537987575,0.31976642345612044,0.46067071457673425,0.3721474642960646
1610.296,0.18492485803335423,0.6345199471173337,0.5889222292243764,0.32437208045034177,0.4680023041882047,0.37768701769987484
1612.225,0.1887374024465918,0.6523151976609696,0.6100699721197272,0.3291222392761498,0.4755702454392671,0.3835029741985227
1614.153,0.19234831259987423,0.6712974152708936,0.6326387765498767,0.33396150382756024,0.4832786453230568,0.3892718530013744
1616.082,0.19552867520218944,0.6905533605196471,0.6560808755448175,0.3383886685222752,0.4903333753195289,0.3944555802727668
1618.01,0.19860985803589062,0.7109540124547511,0.6804460519767318,0.3431903667698656,0.4980227754788079,0.4000221800407589
1619.939,0.20108055544910483,0.7318501709887774,0.7054845739773291,0.34772794750835,0.5053218068870472,0.4051488797565445
1621.867,0.20281283157924107,0.75494362698057,0.7334679770542626,0.35191062487213415,0.5120656619908444,0.40944074760069776
1623.796,0.20445725934184145,0.7781085092999009,0.7615561528220766,0.3561883229158553,0.5187707673736898,0.41383005429655517
1625.724,0.20678564937350813,0.8028541790826068,0.7890694205860533,0.3621267103473273,0.5281806603705419,0.4203049760484179
1627.653,0.20830994365201583,0.827808662622556,0.8163196835885468,0.3678295845320994,0.5374285929829367,0.4263381751874905
1629.581,0.20874829636433068,0.8538890474141502,0.8452873292428447,0.37274053436282195,0.545611163861949,0.43099349519528146
1631.51,0.20824315519761985,0.8788855110207335,0.8743109034770296,0.37638690461603985,0.5518138617496355,0.4339459207356065
1633.438,0.2069710859605924,0.902520031053634,0.9018298819738702,0.3794992834750508,0.5571538222786059,0.43606383846965985
1635.367,0.20571406857137053,0.9233224391028317,0.9254884993304607,0.38267084135166307,0.5622912516557286,0.43838513925930483
1637.295,0.2043240204519916,0.9438643971331975,0.9478149667701872,0.38608643962118444,0.5678530415253176,0.4407486758092623
1639.224,0.20146060712530908,0.9594645237291977,0.9655224036483843,0.38735444569448535,0.5701686037194474,0.4403759239558488
1641.152,0.19768653322581592,0.9712547680966152,0.9797637397331029,0.38765377716940824,0.5707616645963178,0.43899268389235446
1643.081,0.19497215725961747,0.9812455003928013,0.9895012574556744,0.38916945326384766,0.5733140556006746,0.4394733105295214
1645.009,0.19169490149122043,0.9886247794590647,0.9956651831755466,0.3897720708871186,0.5748624124326077,0.4387731179795114
1646.938,0.18708620367054443,0.991797613758976,0.9982387812949658,0.38818768266104614,0.5733178195604128,0.4353671255750267
1648.866,0.1807608325267952,0.9921268303683825,1,0.3838661761328232,0.5676468522511651,0.4283329812542117
1650.795,0.1741126107039245,0.9882405716555307,0.998925609588112,0.37811802486579493,0.5592912526384467,0.4197864312171227
1652.723,0.16878682783579646,0.9831944833394876,0.9948355855623363,0.37389490260772623,0.5530266971567741,0.4133187336829761
1654.652,0.16344457954564645,0.9746285029101628,0.9871447913738223,0.3691256534780876,0.5457134741788263,0.40639963838564813
1656.58,0.15813834053737932,0.9631391276415063,0.9764275830997003,0.36394915171953895,0.5376663635595934,0.3992649353839803
1658.509,0.1535507683061671,0.9505795550290846,0.9636591707629945,0.3596847949908518,0.5309597252088303,0.3935067137593917
1660.437,0.14828405959044355,0.9371485015019644,0.9503796581245773,0.35474991953597756,0.523424091502862,0.38670910873256575
1662.366,0.14291303628548507,0.919719824141051,0.9333243569146941,0.3487511665781896,0.5142662138268369,0.3791184319819325
1664.294,0.13841258936692577,0.9034698226755724,0.9156861661149927,0.3440602178875852,0.5074358981112432,0.3730255916081616
1666.223,0.13222631033742388,0.8835696478583411,0.8962157319855938,0.3362357171057523,0.49616796505010924,0.3628093968392989
1668.151,0.12481533031005253,0.8595580854582591,0.8749183079161832,0.32607309691624636,0.48113276888763534,0.3498669527908252
1670.08,0.11844675855454999,0.8335252137658681,0.8505839469873082,0.316257802787655,0.4665449701361963,0.3378138369548794
1672.008,0.1124023871037543,0.8057741599609981,0.8246182603992572,0.3061281646725397,0.45134901886053597,0.32565952850986524
1673.937,0.10758142420287171,0.7809308059399697,0.7998333843443772,0.2984655633375569,0.43987541203982905,0.31614293933453397
1675.865,0.10208194178087245,0.7538600528850722,0.773114198385234,0.2892232229666679,0.4262326434980323,0.3047445937556912
