Wavenumber,CoHA01,CoHA025,CoHA05,CoHA100
1440.588,0.8768657,0.9764203,1.22525,0.9422612
1442.517,0.8692386,0.9695699,1.222395,0.9366794
1444.445,0.8616509,0.9631895,1.219924,0.9313114
1446.374,0.8536125,0.9564175,1.217016,0.925551
1448.302,0.8501437,0.9475284,1.209453,0.9211265
1450.231,0.8443089,0.9428086,1.207845,0.9168339
1452.159,0.8371557,0.9380049,1.206766,0.9119046
1454.088,0.8275994,0.9332429,1.206987,0.905898
1456.016,0.8177994,0.9215975,1.200403,0.896808
1457.945,0.828214,0.9073101,1.17985,0.89728
1459.873,0.8246264,0.9121255,1.186558,0.8977879
1461.802,0.8149165,0.9136993,1.193398,0.8938156
1463.73,0.8079043,0.9088411,1.192259,0.8891104
1465.659,0.8100827,0.9018876,1.183976,0.8883131
1467.587,0.8058819,0.9012082,1.185624,0.8862568
1469.516,0.7975742,0.9001072,1.189067,0.8821312
1471.444,0.7900648,0.8926834,1.185467,0.8764363
1473.373,0.7965246,0.8831759,1.172124,0.877377
1475.301,0.7946583,0.8842414,1.174624,0.8775486
1477.23,0.7938903,0.8843533,1.175259,0.8777202
1479.158,0.7891732,0.8850568,1.178445,0.876146
1481.087,0.7874385,0.8833222,1.177415,0.8752356
1483.015,0.7868725,0.8820225,1.176871,0.8749762
1484.944,0.7822564,0.8817777,1.179587,0.8730651
1486.872,0.778625,0.8786228,1.178179,0.8707094
1488.801,0.7791466,0.873513,1.172259,0.869582
1490.729,0.7885765,0.8715088,1.165808,0.8738026
1492.658,0.7860318,0.8768122,1.173342,0.8748611
1494.586,0.7785972,0.8779743,1.178715,0.8719221
1496.515,0.7810651,0.8736434,1.173195,0.87183
1498.443,0.7868791,0.8728175,1.170184,0.8747557
1500.372,0.7884719,0.87577989999999994,1.173188,0.8769619
1502.3,0.7854152,0.878225,1.178292,0.8765914
1504.229,0.7767026,0.8777497,1.183618,0.8718802
1506.157,0.7720152,0.8586595,1.167876,0.86011
1508.086,0.8007427,0.8589929,1.153013,0.8761684
1510.014,0.7956433,0.874057,1.170685,0.881139
1511.943,0.7939317,0.8792411,1.177214,0.8825393
1513.871,0.7904361,0.8816887,1.182315,0.8819192
1515.8,0.7881799,0.8797103,1.182036,0.8804136
1517.728,0.7957727,0.8775058,1.176415,0.8839568
1519.657,0.789343,0.8794902,1.182884,0.8815945
1521.585,0.7973424,0.8719518,1.171326,0.8832374
1523.514,0.8026698,0.880565,1.177968,0.8899345
1525.442,0.8005393,0.884077,1.183028,0.8903216
1527.371,0.8065947,0.8870444,1.183078,0.8947864
1529.299,0.8070428,0.8914064,1.188005,0.8970282
1531.228,0.8018295,0.8944989,1.194984,0.8958008
1533.156,0.8059049,0.8904539,1.188936,0.8967639
1535.085,0.8143887,0.8944291,1.18928,0.9034655
1537.013,0.8031862,0.89803,1.199969,0.8992651
1538.942,0.7965832,0.8865922,1.193389,0.8901789
1540.87,0.8174159,0.8736733,1.169688,0.8964998
1542.799,0.8213452,0.8908855,1.185083,0.9070627
